User ID,Gender,Age,EstimatedSalary,Purchased
15600000,Male,27,92000,1
15600001,Female,18,30000,0
15600002,Female,37,44000,1
15600003,Female,45,71000,1
15600004,Female,29,81000,0
15600005,Male,46,68000,1
15600006,Female,50,65000,1
15600007,Male,34,85000,1
15600008,Female,42,134000,1
15600009,Male,32,45000,0
15600010,Female,36,44000,0
15600011,Male,44,92000,1
15600012,Female,40,73000,1
15600013,Female,46,76000,1
15600014,Female,40,88000,1
15600015,Male,34,55000,0
15600016,Male,52,44000,1
15600017,Male,21,59000,0
15600018,Female,45,93000,1
15600019,Female,33,95000,1
15600020,Female,26,42000,0
15600021,Female,39,90000,1
15600022,Female,44,60000,1
15600023,Female,31,59000,0
15600024,Female,42,55000,1
15600025,Female,42,83000,1
15600026,Male,33,67000,0
15600027,Male,23,30000,0
15600028,Male,28,58000,0
15600029,Female,34,92000,1
15600030,Female,28,59000,0
15600031,Male,20,83000,0
15600032,Female,23,72000,0
15600033,Male,40,70000,1
15600034,Male,27,75000,0
15600035,Female,51,95000,1
15600036,Female,26,50000,0
15600037,Male,34,28000,0
15600038,Male,23,39000,0
15600039,Male,46,129000,1
15600040,Male,28,15000,0
15600041,Female,29,57000,0
15600042,Male,48,74000,1
15600043,Male,27,19000,0
15600044,Male,40,123000,1
15600045,Male,47,55000,1
15600046,Male,30,133000,1
15600047,Male,46,42000,1
15600048,Female,36,68000,1
15600049,Male,42,56000,1
15600050,Female,39,117000,1
15600051,Female,36,78000,1
15600052,Male,33,103000,1
15600053,Female,53,75000,1
15600054,Female,54,121000,1
15600055,Male,34,113000,1
15600056,Male,44,58000,1
15600057,Male,36,80000,1
15600058,Male,44,15000,0
15600059,Male,29,33000,0
15600060,Female,47,30000,1
15600061,Female,33,60000,1
15600062,Female,51,65000,1
15600063,Female,35,77000,1
15600064,Female,38,76000,1
15600065,Male,56,44000,1
15600066,Male,32,79000,1
15600067,Male,30,50000,0
15600068,Male,27,54000,0
15600069,Female,37,17000,0
15600070,Female,25,37000,0
15600071,Male,60,34000,1
15600072,Male,55,40000,1
15600073,Male,45,83000,1
15600074,Female,24,62000,0
15600075,Male,40,53000,1
15600076,Female,39,80000,1
15600077,Female,38,48000,1
15600078,Male,60,132000,1
15600079,Male,41,47000,0
